store_id,transaction_id,timestamp,basket_value_inr
store_001,txn_001,2026-05-29T10:15:00Z,1250.00
store_001,txn_002,2026-05-29T10:22:00Z,890.50
store_001,txn_003,2026-05-29T10:35:00Z,2100.00
store_001,txn_004,2026-05-29T10:48:00Z,450.00
store_001,txn_005,2026-05-29T11:05:00Z,3200.75
store_001,txn_006,2026-05-29T11:18:00Z,780.00
store_001,txn_007,2026-05-29T11:30:00Z,1650.25
store_001,txn_008,2026-05-29T11:45:00Z,920.00
store_001,txn_009,2026-05-29T12:02:00Z,1100.50
store_001,txn_010,2026-05-29T12:20:00Z,2450.00
store_002,txn_011,2026-05-29T10:10:00Z,1800.00
store_002,txn_012,2026-05-29T10:25:00Z,650.00
store_002,txn_013,2026-05-29T10:40:00Z,3100.50
store_002,txn_014,2026-05-29T11:00:00Z,1200.00
store_002,txn_015,2026-05-29T11:20:00Z,890.75
store_002,txn_016,2026-05-29T11:35:00Z,2200.00
store_002,txn_017,2026-05-29T11:50:00Z,1450.25
store_002,txn_018,2026-05-29T12:05:00Z,760.00
store_003,txn_019,2026-05-29T10:05:00Z,1950.00
store_003,txn_020,2026-05-29T10:20:00Z,820.50
store_003,txn_021,2026-05-29T10:38:00Z,2800.00
store_003,txn_022,2026-05-29T11:00:00Z,1100.00
store_003,txn_023,2026-05-29T11:15:00Z,3500.75
store_003,txn_024,2026-05-29T11:30:00Z,690.00
store_003,txn_025,2026-05-29T11:48:00Z,1850.25
store_004,txn_026,2026-05-29T10:12:00Z,2100.00
store_004,txn_027,2026-05-29T10:30:00Z,950.50
store_004,txn_028,2026-05-29T10:45:00Z,1600.00
store_004,txn_029,2026-05-29T11:05:00Z,2750.00
store_004,txn_030,2026-05-29T11:22:00Z,1300.75
store_004,txn_031,2026-05-29T11:40:00Z,880.00
store_005,txn_032,2026-05-29T10:08:00Z,1450.00
store_005,txn_033,2026-05-29T10:28:00Z,720.50
store_005,txn_034,2026-05-29T10:42:00Z,2300.00
store_005,txn_035,2026-05-29T11:00:00Z,1050.00
store_005,txn_036,2026-05-29T11:18:00Z,1900.75
